sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-DD-AACK-01	TCGA-DD-AACK-01	3.295	LIHC
TCGA-85-8354-01	TCGA-85-8354-01	3.292	LUSC
TCGA-RD-A7BT-01	TCGA-RD-A7BT-01	3.283	STAD
TCGA-DC-6160-01	TCGA-DC-6160-01	3.283	READ
TCGA-85-8277-01	TCGA-85-8277-01	3.283	LUSC
TCGA-ZR-A9CJ-01	TCGA-ZR-A9CJ-01	3.271	ESCA
TCGA-D7-6822-01	TCGA-D7-6822-01	3.269	STAD
TCGA-21-1076-01	TCGA-21-1076-01	3.269	LUSC
TCGA-HU-A4HD-01	TCGA-HU-A4HD-01	3.259	STAD
TCGA-60-2696-01	TCGA-60-2696-01	3.256	LUSC
TCGA-F5-6861-01	TCGA-F5-6861-01	3.254	READ
TCGA-BC-4073-01	TCGA-BC-4073-01	3.254	LIHC
TCGA-5M-AAT5-01	TCGA-5M-AAT5-01	3.252	
TCGA-VQ-AA6I-01	TCGA-VQ-AA6I-01	3.251	STAD
TCGA-NC-A5HN-01	TCGA-NC-A5HN-01	3.251	LUSC
TCGA-D5-6533-01	TCGA-D5-6533-01	3.25	COAD
TCGA-F4-6459-01	TCGA-F4-6459-01	3.25	COAD
TCGA-CV-7446-01	TCGA-CV-7446-01	3.244	HNSC
TCGA-CM-5344-01	TCGA-CM-5344-01	3.242	COAD
TCGA-98-A53I-01	TCGA-98-A53I-01	3.238	LUSC
TCGA-DD-A1EJ-01	TCGA-DD-A1EJ-01	3.233	LIHC
TCGA-A6-2682-01	TCGA-A6-2682-01	3.23	COAD
TCGA-94-7033-01	TCGA-94-7033-01	3.219	LUSC
TCGA-UF-A719-01	TCGA-UF-A719-01	3.217	HNSC
TCGA-BR-8369-01	TCGA-BR-8369-01	3.215	STAD
TCGA-EI-6513-01	TCGA-EI-6513-01	3.213	READ
TCGA-CN-A497-01	TCGA-CN-A497-01	3.212	HNSC
TCGA-T3-A92N-01	TCGA-T3-A92N-01	3.209	HNSC
TCGA-CM-6161-01	TCGA-CM-6161-01	3.207	COAD
TCGA-D6-6823-01	TCGA-D6-6823-01	3.206	HNSC
TCGA-CV-7435-01	TCGA-CV-7435-01	3.203	HNSC
TCGA-EF-5831-01	TCGA-EF-5831-01	3.198	READ
TCGA-LN-A4A3-01	TCGA-LN-A4A3-01	3.197	ESCA
TCGA-70-6723-01	TCGA-70-6723-01	3.194	LUSC
TCGA-AA-3660-01	TCGA-AA-3660-01	3.194	COAD
TCGA-D5-6537-01	TCGA-D5-6537-01	3.193	COAD
TCGA-85-7697-01	TCGA-85-7697-01	3.187	LUSC
TCGA-34-2596-01	TCGA-34-2596-01	3.186	LUSC
TCGA-CN-6023-01	TCGA-CN-6023-01	3.186	HNSC
TCGA-AG-3731-01	TCGA-AG-3731-01	3.184	READ
TCGA-77-A5G8-01	TCGA-77-A5G8-01	3.183	LUSC
TCGA-CK-5913-01	TCGA-CK-5913-01	3.181	COAD
TCGA-CV-5966-01	TCGA-CV-5966-01	3.179	HNSC
TCGA-22-A5C4-01	TCGA-22-A5C4-01	3.178	LUSC
TCGA-66-2758-01	TCGA-66-2758-01	3.174	LUSC
TCGA-DM-A1DA-01	TCGA-DM-A1DA-01	3.174	COAD
TCGA-A6-6648-01	TCGA-A6-6648-01	3.166	COAD
TCGA-L5-A43I-01	TCGA-L5-A43I-01	3.164	ESCA
TCGA-DM-A28F-01	TCGA-DM-A28F-01	3.163	COAD
TCGA-CV-7437-01	TCGA-CV-7437-01	3.156	HNSC
TCGA-XP-A8T8-01	TCGA-XP-A8T8-01	3.154	ESCA
TCGA-5M-AAT4-01	TCGA-5M-AAT4-01	3.151	COAD
TCGA-CI-6621-01	TCGA-CI-6621-01	3.147	READ
TCGA-43-A474-01	TCGA-43-A474-01	3.147	LUSC
TCGA-AD-5900-01	TCGA-AD-5900-01	3.145	COAD
TCGA-G5-6233-01	TCGA-G5-6233-01	3.138	READ
TCGA-R6-A8WG-01	TCGA-R6-A8WG-01	3.136	ESCA
TCGA-CV-7100-01	TCGA-CV-7100-01	3.13	HNSC
TCGA-QK-A6VB-01	TCGA-QK-A6VB-01	3.129	HNSC
TCGA-CN-4723-01	TCGA-CN-4723-01	3.122	HNSC
TCGA-43-6770-01	TCGA-43-6770-01	3.114	LUSC
TCGA-AA-3655-01	TCGA-AA-3655-01	3.113	COAD
TCGA-R5-A7ZE-01	TCGA-R5-A7ZE-01	3.109	STAD
TCGA-DM-A288-01	TCGA-DM-A288-01	3.108	COAD
TCGA-CN-4730-01	TCGA-CN-4730-01	3.105	HNSC
TCGA-G4-6314-01	TCGA-G4-6314-01	3.103	COAD
TCGA-CR-7390-01	TCGA-CR-7390-01	3.089	HNSC
TCGA-CV-7242-11	TCGA-CV-7242-11	3.089	HNSC
TCGA-50-5939-01	TCGA-50-5939-01	3.079	LUAD
TCGA-43-A475-01	TCGA-43-A475-01	3.072	LUSC
TCGA-85-8352-01	TCGA-85-8352-01	3.067	LUSC
TCGA-AA-3662-01	TCGA-AA-3662-01	3.066	COAD
TCGA-D5-5538-01	TCGA-D5-5538-01	3.066	COAD
TCGA-BR-7901-01	TCGA-BR-7901-01	3.065	STAD
TCGA-FB-AAQ0-01	TCGA-FB-AAQ0-01	3.064	PAAD
TCGA-NH-A50V-01	TCGA-NH-A50V-01	3.061	COAD
TCGA-34-5236-01	TCGA-34-5236-01	3.059	LUSC
TCGA-BT-A0YX-01	TCGA-BT-A0YX-01	3.059	BLCA
TCGA-39-5037-01	TCGA-39-5037-01	3.057	LUSC
TCGA-75-7027-01	TCGA-75-7027-01	3.056	LUAD
TCGA-CR-7370-01	TCGA-CR-7370-01	3.056	HNSC
TCGA-77-8148-01	TCGA-77-8148-01	3.044	LUSC
TCGA-A6-5656-01	TCGA-A6-5656-01	3.043	COAD
TCGA-XC-AA0X-01	TCGA-XC-AA0X-01	3.04	LUSC
TCGA-BA-A6DL-01	TCGA-BA-A6DL-01	3.022	HNSC
TCGA-52-7622-01	TCGA-52-7622-01	3.021	LUSC
TCGA-CR-6478-01	TCGA-CR-6478-01	3.02	HNSC
TCGA-BR-8690-01	TCGA-BR-8690-01	3.019	STAD
TCGA-AD-6890-01	TCGA-AD-6890-01	3.018	COAD
TCGA-D7-8575-01	TCGA-D7-8575-01	3.016	STAD
TCGA-56-8304-01	TCGA-56-8304-01	3.016	LUSC
TCGA-CN-6988-01	TCGA-CN-6988-01	3.008	HNSC
TCGA-D6-A6EO-01	TCGA-D6-A6EO-01	3.008	HNSC
TCGA-CK-6751-01	TCGA-CK-6751-01	3.007	COAD
TCGA-2V-A95S-01	TCGA-2V-A95S-01	3.006	LIHC
