sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-EY-A1H0-01	TCGA-EY-A1H0-01		UCEC
TCGA-EY-A212-01	TCGA-EY-A212-01		UCEC
TCGA-EY-A214-01	TCGA-EY-A214-01		UCEC
TCGA-EY-A215-01	TCGA-EY-A215-01		UCEC
TCGA-EY-A2OM-01	TCGA-EY-A2OM-01		UCEC
TCGA-FI-A2CX-01	TCGA-FI-A2CX-01		UCEC
TCGA-FI-A2CY-01	TCGA-FI-A2CY-01		UCEC
TCGA-FI-A2D0-01	TCGA-FI-A2D0-01		UCEC
TCGA-FI-A2D2-01	TCGA-FI-A2D2-01		UCEC
TCGA-FI-A2D4-01	TCGA-FI-A2D4-01		UCEC
TCGA-FI-A2D5-01	TCGA-FI-A2D5-01		UCEC
TCGA-FI-A2D6-01	TCGA-FI-A2D6-01		UCEC
TCGA-FI-A2EU-01	TCGA-FI-A2EU-01		UCEC
TCGA-FI-A2EW-01	TCGA-FI-A2EW-01		UCEC
TCGA-FI-A2EX-01	TCGA-FI-A2EX-01		UCEC
TCGA-FI-A2F4-01	TCGA-FI-A2F4-01		UCEC
TCGA-FI-A2F8-01	TCGA-FI-A2F8-01		UCEC
TCGA-FI-A2F9-01	TCGA-FI-A2F9-01		UCEC
TCGA-4V-A9QQ-01	TCGA-4V-A9QQ-01		THYM
TCGA-X7-A8DC-01	TCGA-X7-A8DC-01		THYM
TCGA-X7-A8DI-01	TCGA-X7-A8DI-01		THYM
TCGA-XU-A92R-01	TCGA-XU-A92R-01		THYM
TCGA-BJ-A28T-11	TCGA-BJ-A28T-11		THCA
TCGA-DJ-A2Q8-01	TCGA-DJ-A2Q8-01		THCA
TCGA-EM-A1YD-11	TCGA-EM-A1YD-11		THCA
TCGA-EM-A1YE-11	TCGA-EM-A1YE-11		THCA
TCGA-ET-A25J-11	TCGA-ET-A25J-11		THCA
TCGA-ET-A25N-11	TCGA-ET-A25N-11		THCA
TCGA-ET-A2MY-11	TCGA-ET-A2MY-11		THCA
TCGA-ET-A2N1-01	TCGA-ET-A2N1-01		THCA
TCGA-BR-4183-01	TCGA-BR-4183-01		STAD
TCGA-BR-4183-11	TCGA-BR-4183-11		STAD
TCGA-BR-4184-01	TCGA-BR-4184-01		STAD
TCGA-BR-4184-11	TCGA-BR-4184-11		STAD
TCGA-BR-4187-11	TCGA-BR-4187-11		STAD
TCGA-BR-4188-01	TCGA-BR-4188-01		STAD
TCGA-BR-4188-11	TCGA-BR-4188-11		STAD
TCGA-BR-4191-11	TCGA-BR-4191-11		STAD
TCGA-BR-4201-11	TCGA-BR-4201-11		STAD
TCGA-BR-4253-11	TCGA-BR-4253-11		STAD
TCGA-BR-4255-11	TCGA-BR-4255-11		STAD
TCGA-BR-4256-11	TCGA-BR-4256-11		STAD
TCGA-BR-4257-11	TCGA-BR-4257-11		STAD
TCGA-BR-4267-11	TCGA-BR-4267-11		STAD
TCGA-BR-4279-11	TCGA-BR-4279-11		STAD
TCGA-BR-4280-11	TCGA-BR-4280-11		STAD
TCGA-BR-4292-11	TCGA-BR-4292-11		STAD
TCGA-BR-4294-11	TCGA-BR-4294-11		STAD
TCGA-BR-4357-11	TCGA-BR-4357-11		STAD
TCGA-BR-4361-11	TCGA-BR-4361-11		STAD
TCGA-BR-4362-11	TCGA-BR-4362-11		STAD
TCGA-BR-4363-11	TCGA-BR-4363-11		STAD
TCGA-BR-4366-11	TCGA-BR-4366-11		STAD
TCGA-BR-4367-11	TCGA-BR-4367-11		STAD
TCGA-BR-4368-11	TCGA-BR-4368-11		STAD
TCGA-BR-4369-11	TCGA-BR-4369-11		STAD
TCGA-BR-4370-11	TCGA-BR-4370-11		STAD
TCGA-BR-4371-11	TCGA-BR-4371-11		STAD
TCGA-BR-6452-11	TCGA-BR-6452-11		STAD
TCGA-BR-6566-11	TCGA-BR-6566-11		STAD
TCGA-BR-6710-01	TCGA-BR-6710-01		STAD
TCGA-BR-7703-11	TCGA-BR-7703-11		STAD
TCGA-BR-8060-11	TCGA-BR-8060-11		STAD
TCGA-BR-8285-01	TCGA-BR-8285-01		STAD
TCGA-BR-8360-01	TCGA-BR-8360-01		STAD
TCGA-BR-8370-01	TCGA-BR-8370-01		STAD
TCGA-BR-A4CQ-01	TCGA-BR-A4CQ-01		STAD
TCGA-CD-5802-01	TCGA-CD-5802-01		STAD
TCGA-CG-4300-01	TCGA-CG-4300-01		STAD
TCGA-CG-4455-01	TCGA-CG-4455-01		STAD
TCGA-CG-5725-11	TCGA-CG-5725-11		STAD
TCGA-CG-5727-01	TCGA-CG-5727-01		STAD
TCGA-CG-5728-01	TCGA-CG-5728-01		STAD
TCGA-CG-5730-01	TCGA-CG-5730-01		STAD
TCGA-CG-5733-01	TCGA-CG-5733-01		STAD
TCGA-D7-5579-01	TCGA-D7-5579-01		STAD
TCGA-D7-A6ET-01	TCGA-D7-A6ET-01		STAD
TCGA-D7-A74B-01	TCGA-D7-A74B-01		STAD
TCGA-EQ-5647-01	TCGA-EQ-5647-01		STAD
TCGA-HU-8245-01	TCGA-HU-8245-01		STAD
TCGA-HU-A4G9-11	TCGA-HU-A4G9-11		STAD
TCGA-HU-A4GX-11	TCGA-HU-A4GX-11		STAD
TCGA-IN-A6RP-01	TCGA-IN-A6RP-01		STAD
TCGA-KB-A6F5-01	TCGA-KB-A6F5-01		STAD
TCGA-R5-A804-01	TCGA-R5-A804-01		STAD
TCGA-SW-A7EA-11	TCGA-SW-A7EA-11		STAD
TCGA-VQ-A8DL-01	TCGA-VQ-A8DL-01		STAD
TCGA-VQ-A8PS-01	TCGA-VQ-A8PS-01		STAD
TCGA-VQ-A8PT-01	TCGA-VQ-A8PT-01		STAD
TCGA-VQ-A8PY-01	TCGA-VQ-A8PY-01		STAD
TCGA-VQ-A8PZ-01	TCGA-VQ-A8PZ-01		STAD
TCGA-D9-A1X3-01	TCGA-D9-A1X3-01		SKCM
TCGA-FW-A3R5-11	TCGA-FW-A3R5-11		SKCM
TCGA-GN-A269-01	TCGA-GN-A269-01		SKCM
TCGA-HR-A2OG-01	TCGA-HR-A2OG-01		SKCM
TCGA-HR-A2OH-01	TCGA-HR-A2OH-01		SKCM
TCGA-XV-AB01-06	TCGA-XV-AB01-06		SKCM
TCGA-DX-A48V-01	TCGA-DX-A48V-01		SARC
TCGA-DX-A6BK-01	TCGA-DX-A6BK-01		SARC
TCGA-FX-A48G-11	TCGA-FX-A48G-11		SARC
TCGA-IF-A4AJ-11	TCGA-IF-A4AJ-11		SARC
TCGA-K1-A42X-11	TCGA-K1-A42X-11		SARC
TCGA-KF-A41W-11	TCGA-KF-A41W-11		SARC
TCGA-AF-2689-01	TCGA-AF-2689-01		READ
TCGA-AF-2691-01	TCGA-AF-2691-01		READ
TCGA-AF-2692-01	TCGA-AF-2692-01		READ
TCGA-AF-3400-01	TCGA-AF-3400-01		READ
TCGA-AF-3913-01	TCGA-AF-3913-01		READ
TCGA-AF-3913-11	TCGA-AF-3913-11		READ
TCGA-AG-3574-01	TCGA-AG-3574-01		READ
TCGA-AG-3575-01	TCGA-AG-3575-01		READ
TCGA-AG-3578-01	TCGA-AG-3578-01		READ
TCGA-AG-3580-01	TCGA-AG-3580-01		READ
TCGA-AG-3581-01	TCGA-AG-3581-01		READ
TCGA-AG-3582-01	TCGA-AG-3582-01		READ
TCGA-AG-3583-01	TCGA-AG-3583-01		READ
TCGA-AG-3584-01	TCGA-AG-3584-01		READ
TCGA-AG-3586-01	TCGA-AG-3586-01		READ
TCGA-AG-3587-01	TCGA-AG-3587-01		READ
TCGA-AG-3593-01	TCGA-AG-3593-01		READ
TCGA-AG-3594-01	TCGA-AG-3594-01		READ
TCGA-AG-3598-01	TCGA-AG-3598-01		READ
TCGA-AG-3599-01	TCGA-AG-3599-01		READ
TCGA-AG-3600-01	TCGA-AG-3600-01		READ
TCGA-AG-3601-01	TCGA-AG-3601-01		READ
TCGA-AG-3602-01	TCGA-AG-3602-01		READ
TCGA-AG-3605-01	TCGA-AG-3605-01		READ
TCGA-AG-3608-01	TCGA-AG-3608-01		READ
TCGA-AG-3609-01	TCGA-AG-3609-01		READ
TCGA-AG-3611-01	TCGA-AG-3611-01		READ
TCGA-AG-3612-01	TCGA-AG-3612-01		READ
TCGA-AG-3726-01	TCGA-AG-3726-01		READ
TCGA-AG-3727-01	TCGA-AG-3727-01		READ
TCGA-AG-3728-01	TCGA-AG-3728-01		READ
TCGA-AG-3878-01	TCGA-AG-3878-01		READ
TCGA-AG-3881-01	TCGA-AG-3881-01		READ
TCGA-AG-3882-01	TCGA-AG-3882-01		READ
TCGA-AG-3883-01	TCGA-AG-3883-01		READ
TCGA-AG-3885-01	TCGA-AG-3885-01		READ
TCGA-AG-3887-01	TCGA-AG-3887-01		READ
TCGA-AG-3890-01	TCGA-AG-3890-01		READ
TCGA-AG-3892-01	TCGA-AG-3892-01		READ
TCGA-AG-3893-01	TCGA-AG-3893-01		READ
TCGA-AG-3894-01	TCGA-AG-3894-01		READ
TCGA-AG-3896-01	TCGA-AG-3896-01		READ
TCGA-AG-3898-01	TCGA-AG-3898-01		READ
TCGA-AG-3901-01	TCGA-AG-3901-01		READ
TCGA-AG-3909-01	TCGA-AG-3909-01		READ
TCGA-AG-3999-01	TCGA-AG-3999-01		READ
TCGA-AG-4001-01	TCGA-AG-4001-01		READ
TCGA-AG-4005-01	TCGA-AG-4005-01		READ
TCGA-AG-4007-01	TCGA-AG-4007-01		READ
TCGA-AG-4008-01	TCGA-AG-4008-01		READ
TCGA-AG-4015-01	TCGA-AG-4015-01		READ
TCGA-AG-A002-01	TCGA-AG-A002-01		READ
TCGA-AG-A008-01	TCGA-AG-A008-01		READ
TCGA-AG-A00C-01	TCGA-AG-A00C-01		READ
TCGA-AG-A00H-01	TCGA-AG-A00H-01		READ
TCGA-AG-A00Y-01	TCGA-AG-A00Y-01		READ
TCGA-AG-A011-01	TCGA-AG-A011-01		READ
TCGA-AG-A014-01	TCGA-AG-A014-01		READ
TCGA-AG-A015-01	TCGA-AG-A015-01		READ
TCGA-AG-A016-01	TCGA-AG-A016-01		READ
TCGA-AG-A01J-01	TCGA-AG-A01J-01		READ
TCGA-AG-A01L-01	TCGA-AG-A01L-01		READ
TCGA-AG-A01N-01	TCGA-AG-A01N-01		READ
TCGA-AG-A01W-01	TCGA-AG-A01W-01		READ
TCGA-AG-A01W-11	TCGA-AG-A01W-11		READ
TCGA-AG-A01Y-01	TCGA-AG-A01Y-01		READ
TCGA-AG-A01Y-11	TCGA-AG-A01Y-11		READ
TCGA-AG-A020-01	TCGA-AG-A020-01		READ
TCGA-AG-A020-11	TCGA-AG-A020-11		READ
TCGA-AG-A023-01	TCGA-AG-A023-01		READ
TCGA-AG-A025-01	TCGA-AG-A025-01		READ
TCGA-AG-A026-01	TCGA-AG-A026-01		READ
TCGA-AG-A02G-01	TCGA-AG-A02G-01		READ
TCGA-AG-A02N-01	TCGA-AG-A02N-01		READ
TCGA-AG-A02N-11	TCGA-AG-A02N-11		READ
TCGA-AG-A02X-01	TCGA-AG-A02X-01		READ
TCGA-AG-A032-01	TCGA-AG-A032-01		READ
TCGA-AG-A036-01	TCGA-AG-A036-01		READ
TCGA-AG-A036-11	TCGA-AG-A036-11		READ
TCGA-CH-5762-11	TCGA-CH-5762-11		PRAD
TCGA-CH-5763-11	TCGA-CH-5763-11		PRAD
TCGA-CH-5764-11	TCGA-CH-5764-11		PRAD
TCGA-CH-5765-11	TCGA-CH-5765-11		PRAD
TCGA-CH-5766-11	TCGA-CH-5766-11		PRAD
TCGA-CH-5771-11	TCGA-CH-5771-11		PRAD
TCGA-CH-5772-11	TCGA-CH-5772-11		PRAD
TCGA-G9-6332-11	TCGA-G9-6332-11		PRAD
TCGA-G9-6353-11	TCGA-G9-6353-11		PRAD
TCGA-G9-6364-11	TCGA-G9-6364-11		PRAD
TCGA-G9-6367-11	TCGA-G9-6367-11		PRAD
TCGA-G9-6373-11	TCGA-G9-6373-11		PRAD
TCGA-G9-6385-11	TCGA-G9-6385-11		PRAD
TCGA-G9-6494-11	TCGA-G9-6494-11		PRAD
TCGA-HC-7820-11	TCGA-HC-7820-11		PRAD
TCGA-KC-A4BO-01	TCGA-KC-A4BO-01		PRAD
TCGA-FZ-5919-01	TCGA-FZ-5919-01		PAAD
TCGA-FZ-5919-11	TCGA-FZ-5919-11		PAAD
TCGA-FZ-5920-01	TCGA-FZ-5920-01		PAAD
TCGA-FZ-5920-11	TCGA-FZ-5920-11		PAAD
TCGA-FZ-5921-01	TCGA-FZ-5921-01		PAAD
TCGA-FZ-5922-01	TCGA-FZ-5922-01		PAAD
TCGA-FZ-5922-11	TCGA-FZ-5922-11		PAAD
TCGA-FZ-5923-01	TCGA-FZ-5923-01		PAAD
TCGA-FZ-5923-11	TCGA-FZ-5923-11		PAAD
TCGA-FZ-5924-01	TCGA-FZ-5924-01		PAAD
TCGA-FZ-5924-11	TCGA-FZ-5924-11		PAAD
TCGA-FZ-5926-01	TCGA-FZ-5926-01		PAAD
TCGA-FZ-5926-11	TCGA-FZ-5926-11		PAAD
TCGA-04-1331-01	TCGA-04-1331-01		OV
TCGA-04-1332-01	TCGA-04-1332-01		OV
TCGA-04-1335-01	TCGA-04-1335-01		OV
TCGA-04-1336-01	TCGA-04-1336-01		OV
TCGA-04-1337-01	TCGA-04-1337-01		OV
TCGA-04-1338-01	TCGA-04-1338-01		OV
TCGA-04-1341-01	TCGA-04-1341-01		OV
TCGA-04-1342-01	TCGA-04-1342-01		OV
TCGA-04-1343-01	TCGA-04-1343-01		OV
TCGA-04-1346-01	TCGA-04-1346-01		OV
TCGA-04-1347-01	TCGA-04-1347-01		OV
TCGA-04-1349-01	TCGA-04-1349-01		OV
TCGA-04-1350-01	TCGA-04-1350-01		OV
TCGA-04-1351-01	TCGA-04-1351-01		OV
TCGA-04-1353-01	TCGA-04-1353-01		OV
TCGA-04-1353-11	TCGA-04-1353-11		OV
TCGA-04-1356-01	TCGA-04-1356-01		OV
TCGA-04-1360-01	TCGA-04-1360-01		OV
TCGA-04-1361-01	TCGA-04-1361-01		OV
TCGA-04-1367-01	TCGA-04-1367-01		OV
TCGA-04-1369-01	TCGA-04-1369-01		OV
TCGA-04-1369-11	TCGA-04-1369-11		OV
TCGA-04-1371-01	TCGA-04-1371-01		OV
TCGA-04-1516-01	TCGA-04-1516-01		OV
TCGA-04-1516-11	TCGA-04-1516-11		OV
TCGA-04-1517-01	TCGA-04-1517-01		OV
TCGA-04-1525-01	TCGA-04-1525-01		OV
TCGA-04-1530-01	TCGA-04-1530-01		OV
TCGA-04-1536-01	TCGA-04-1536-01		OV
TCGA-04-1542-01	TCGA-04-1542-01		OV
TCGA-04-1638-01	TCGA-04-1638-01		OV
TCGA-04-1644-01	TCGA-04-1644-01		OV
TCGA-04-1644-11	TCGA-04-1644-11		OV
TCGA-04-1646-01	TCGA-04-1646-01		OV
TCGA-04-1648-01	TCGA-04-1648-01		OV
TCGA-04-1649-01	TCGA-04-1649-01		OV
TCGA-04-1651-01	TCGA-04-1651-01		OV
TCGA-04-1652-01	TCGA-04-1652-01		OV
TCGA-04-1654-01	TCGA-04-1654-01		OV
TCGA-04-1655-01	TCGA-04-1655-01		OV
TCGA-09-0365-01	TCGA-09-0365-01		OV
TCGA-09-1661-01	TCGA-09-1661-01		OV
TCGA-09-1664-01	TCGA-09-1664-01		OV
TCGA-09-1665-01	TCGA-09-1665-01		OV
TCGA-09-1672-01	TCGA-09-1672-01		OV
TCGA-09-1675-01	TCGA-09-1675-01		OV
TCGA-09-2043-01	TCGA-09-2043-01		OV
TCGA-09-2049-01	TCGA-09-2049-01		OV
TCGA-09-2050-01	TCGA-09-2050-01		OV
TCGA-09-2053-01	TCGA-09-2053-01		OV
TCGA-09-2055-01	TCGA-09-2055-01		OV
TCGA-10-0925-01	TCGA-10-0925-01		OV
TCGA-10-0926-01	TCGA-10-0926-01		OV
TCGA-10-0927-01	TCGA-10-0927-01		OV
TCGA-10-0930-01	TCGA-10-0930-01		OV
TCGA-10-0931-01	TCGA-10-0931-01		OV
TCGA-10-0933-01	TCGA-10-0933-01		OV
TCGA-10-0934-01	TCGA-10-0934-01		OV
TCGA-10-0935-01	TCGA-10-0935-01		OV
TCGA-10-0937-01	TCGA-10-0937-01		OV
TCGA-10-0938-01	TCGA-10-0938-01		OV
TCGA-13-0714-01	TCGA-13-0714-01		OV
TCGA-13-0717-01	TCGA-13-0717-01		OV
TCGA-13-0720-01	TCGA-13-0720-01		OV
TCGA-13-0723-01	TCGA-13-0723-01		OV
TCGA-13-0724-01	TCGA-13-0724-01		OV
TCGA-13-0725-01	TCGA-13-0725-01		OV
TCGA-13-0726-01	TCGA-13-0726-01		OV
TCGA-13-0727-01	TCGA-13-0727-01		OV
TCGA-13-0751-01	TCGA-13-0751-01		OV
TCGA-13-0755-01	TCGA-13-0755-01		OV
TCGA-13-0757-01	TCGA-13-0757-01		OV
TCGA-13-0758-01	TCGA-13-0758-01		OV
TCGA-13-0760-01	TCGA-13-0760-01		OV
TCGA-13-0761-01	TCGA-13-0761-01		OV
TCGA-13-0762-01	TCGA-13-0762-01		OV
TCGA-13-0764-01	TCGA-13-0764-01		OV
TCGA-13-0765-01	TCGA-13-0765-01		OV
TCGA-13-0766-01	TCGA-13-0766-01		OV
TCGA-13-0768-01	TCGA-13-0768-01		OV
TCGA-13-0791-01	TCGA-13-0791-01		OV
TCGA-13-0791-02	TCGA-13-0791-02		OV
TCGA-13-0792-01	TCGA-13-0792-01		OV
TCGA-13-0793-01	TCGA-13-0793-01		OV
TCGA-13-0794-01	TCGA-13-0794-01		OV
TCGA-13-0795-01	TCGA-13-0795-01		OV
TCGA-13-0797-01	TCGA-13-0797-01		OV
TCGA-13-0802-01	TCGA-13-0802-01		OV
TCGA-13-0803-01	TCGA-13-0803-01		OV
TCGA-13-0804-01	TCGA-13-0804-01		OV
TCGA-13-0805-01	TCGA-13-0805-01		OV
TCGA-13-0807-01	TCGA-13-0807-01		OV
TCGA-13-0883-01	TCGA-13-0883-01		OV
TCGA-13-0884-01	TCGA-13-0884-01		OV
TCGA-13-0885-01	TCGA-13-0885-01		OV
TCGA-13-0886-01	TCGA-13-0886-01		OV
TCGA-13-0887-01	TCGA-13-0887-01		OV
TCGA-13-0888-01	TCGA-13-0888-01		OV
TCGA-13-0889-01	TCGA-13-0889-01		OV
TCGA-13-0891-01	TCGA-13-0891-01		OV
TCGA-13-0894-01	TCGA-13-0894-01		OV
TCGA-13-0900-01	TCGA-13-0900-01		OV
TCGA-13-0901-01	TCGA-13-0901-01		OV
TCGA-13-0903-01	TCGA-13-0903-01		OV
TCGA-13-0904-01	TCGA-13-0904-01		OV
TCGA-13-0905-01	TCGA-13-0905-01		OV
TCGA-13-0906-01	TCGA-13-0906-01		OV
TCGA-13-0908-01	TCGA-13-0908-01		OV
TCGA-13-0910-01	TCGA-13-0910-01		OV
TCGA-13-0911-01	TCGA-13-0911-01		OV
TCGA-13-0912-01	TCGA-13-0912-01		OV
TCGA-13-0913-02	TCGA-13-0913-02		OV
TCGA-13-0919-01	TCGA-13-0919-01		OV
TCGA-13-0921-01	TCGA-13-0921-01		OV
TCGA-13-0923-01	TCGA-13-0923-01		OV
TCGA-13-1404-01	TCGA-13-1404-01		OV
TCGA-13-1407-01	TCGA-13-1407-01		OV
TCGA-13-1408-01	TCGA-13-1408-01		OV
TCGA-13-1409-01	TCGA-13-1409-01		OV
TCGA-13-1412-01	TCGA-13-1412-01		OV
TCGA-13-1477-01	TCGA-13-1477-01		OV
TCGA-13-1482-01	TCGA-13-1482-01		OV
TCGA-13-1483-01	TCGA-13-1483-01		OV
TCGA-13-1484-01	TCGA-13-1484-01		OV
TCGA-13-1485-01	TCGA-13-1485-01		OV
TCGA-13-1487-01	TCGA-13-1487-01		OV
TCGA-13-1488-01	TCGA-13-1488-01		OV
TCGA-13-1489-01	TCGA-13-1489-01		OV
TCGA-13-1491-01	TCGA-13-1491-01		OV
TCGA-13-1492-01	TCGA-13-1492-01		OV
TCGA-13-1494-01	TCGA-13-1494-01		OV
TCGA-13-1495-01	TCGA-13-1495-01		OV
TCGA-13-1496-01	TCGA-13-1496-01		OV
TCGA-13-1499-01	TCGA-13-1499-01		OV
TCGA-13-1500-01	TCGA-13-1500-01		OV
TCGA-13-1501-01	TCGA-13-1501-01		OV
TCGA-13-1504-01	TCGA-13-1504-01		OV
TCGA-13-1509-01	TCGA-13-1509-01		OV
TCGA-13-1510-01	TCGA-13-1510-01		OV
TCGA-13-1817-01	TCGA-13-1817-01		OV
TCGA-13-1817-02	TCGA-13-1817-02		OV
TCGA-13-1819-01	TCGA-13-1819-01		OV
TCGA-13-1819-02	TCGA-13-1819-02		OV
TCGA-13-2057-01	TCGA-13-2057-01		OV
TCGA-13-2059-01	TCGA-13-2059-01		OV
TCGA-13-2061-01	TCGA-13-2061-01		OV
TCGA-13-2065-01	TCGA-13-2065-01		OV
TCGA-13-2066-01	TCGA-13-2066-01		OV
TCGA-13-2071-01	TCGA-13-2071-01		OV
TCGA-13-A5FU-01	TCGA-13-A5FU-01		OV
TCGA-20-0987-01	TCGA-20-0987-01		OV
TCGA-20-0990-01	TCGA-20-0990-01		OV
TCGA-20-0991-01	TCGA-20-0991-01		OV
TCGA-20-0996-01	TCGA-20-0996-01		OV
TCGA-20-1686-01	TCGA-20-1686-01		OV
TCGA-23-1021-01	TCGA-23-1021-01		OV
TCGA-23-1022-01	TCGA-23-1022-01		OV
TCGA-23-1024-01	TCGA-23-1024-01		OV
TCGA-23-1028-01	TCGA-23-1028-01		OV
TCGA-23-1030-01	TCGA-23-1030-01		OV
TCGA-23-1031-01	TCGA-23-1031-01		OV
TCGA-23-1032-01	TCGA-23-1032-01		OV
TCGA-23-1107-01	TCGA-23-1107-01		OV
TCGA-23-1110-01	TCGA-23-1110-01		OV
TCGA-23-1113-01	TCGA-23-1113-01		OV
TCGA-23-1116-01	TCGA-23-1116-01		OV
TCGA-23-1117-01	TCGA-23-1117-01		OV
TCGA-23-1118-01	TCGA-23-1118-01		OV
TCGA-23-1119-01	TCGA-23-1119-01		OV
TCGA-23-1121-01	TCGA-23-1121-01		OV
TCGA-23-1124-01	TCGA-23-1124-01		OV
TCGA-23-2072-01	TCGA-23-2072-01		OV
TCGA-23-2079-01	TCGA-23-2079-01		OV
TCGA-23-2641-01	TCGA-23-2641-01		OV
TCGA-23-2643-01	TCGA-23-2643-01		OV
TCGA-23-2645-01	TCGA-23-2645-01		OV
TCGA-23-2647-01	TCGA-23-2647-01		OV
TCGA-23-2649-01	TCGA-23-2649-01		OV
TCGA-24-0966-01	TCGA-24-0966-01		OV
TCGA-24-0968-01	TCGA-24-0968-01		OV
TCGA-24-0970-01	TCGA-24-0970-01		OV
TCGA-24-0979-01	TCGA-24-0979-01		OV
TCGA-24-0980-01	TCGA-24-0980-01		OV
TCGA-24-0982-01	TCGA-24-0982-01		OV
TCGA-24-1104-01	TCGA-24-1104-01		OV
TCGA-24-1105-01	TCGA-24-1105-01		OV
TCGA-24-1422-01	TCGA-24-1422-01		OV
TCGA-24-1426-01	TCGA-24-1426-01		OV
TCGA-24-1431-01	TCGA-24-1431-01		OV
TCGA-24-1464-01	TCGA-24-1464-01		OV
TCGA-24-1466-01	TCGA-24-1466-01		OV
TCGA-24-1470-01	TCGA-24-1470-01		OV
TCGA-24-1471-01	TCGA-24-1471-01		OV
TCGA-24-1565-01	TCGA-24-1565-01		OV
TCGA-24-1614-01	TCGA-24-1614-01		OV
TCGA-24-1845-01	TCGA-24-1845-01		OV
TCGA-24-1852-01	TCGA-24-1852-01		OV
TCGA-24-1852-02	TCGA-24-1852-02		OV
TCGA-24-1920-01	TCGA-24-1920-01		OV
TCGA-24-1923-01	TCGA-24-1923-01		OV
TCGA-24-1927-01	TCGA-24-1927-01		OV
TCGA-24-2029-01	TCGA-24-2029-01		OV
TCGA-24-2030-01	TCGA-24-2030-01		OV
TCGA-24-2260-01	TCGA-24-2260-01		OV
TCGA-24-2280-01	TCGA-24-2280-01		OV
TCGA-24-2295-01	TCGA-24-2295-01		OV
TCGA-25-1325-01	TCGA-25-1325-01		OV
TCGA-25-1877-01	TCGA-25-1877-01		OV
TCGA-25-1878-01	TCGA-25-1878-01		OV
TCGA-25-2390-01	TCGA-25-2390-01		OV
TCGA-25-2408-01	TCGA-25-2408-01		OV
TCGA-29-1692-01	TCGA-29-1692-01		OV
TCGA-29-1692-02	TCGA-29-1692-02		OV
TCGA-29-1704-01	TCGA-29-1704-01		OV
TCGA-29-1704-02	TCGA-29-1704-02		OV
TCGA-29-1705-02	TCGA-29-1705-02		OV
TCGA-29-1707-01	TCGA-29-1707-01		OV
TCGA-29-1707-02	TCGA-29-1707-02		OV
TCGA-29-1710-02	TCGA-29-1710-02		OV
TCGA-29-1764-01	TCGA-29-1764-01		OV
TCGA-29-1766-01	TCGA-29-1766-01		OV
TCGA-29-1768-01	TCGA-29-1768-01		OV
TCGA-29-1769-01	TCGA-29-1769-01		OV
TCGA-29-1771-01	TCGA-29-1771-01		OV
TCGA-29-1774-01	TCGA-29-1774-01		OV
TCGA-29-1775-01	TCGA-29-1775-01		OV
TCGA-29-1777-01	TCGA-29-1777-01		OV
TCGA-29-2429-01	TCGA-29-2429-01		OV
TCGA-29-2431-01	TCGA-29-2431-01		OV
TCGA-29-2432-01	TCGA-29-2432-01		OV
TCGA-29-2434-01	TCGA-29-2434-01		OV
TCGA-29-2436-01	TCGA-29-2436-01		OV
TCGA-30-1714-01	TCGA-30-1714-01		OV
TCGA-30-1853-01	TCGA-30-1853-01		OV
TCGA-30-1856-01	TCGA-30-1856-01		OV
TCGA-30-1859-01	TCGA-30-1859-01		OV
TCGA-30-1866-01	TCGA-30-1866-01		OV
TCGA-30-1867-01	TCGA-30-1867-01		OV
TCGA-30-1869-01	TCGA-30-1869-01		OV
TCGA-30-1880-01	TCGA-30-1880-01		OV
TCGA-30-1887-01	TCGA-30-1887-01		OV
TCGA-30-1892-01	TCGA-30-1892-01		OV
TCGA-31-1955-01	TCGA-31-1955-01		OV
TCGA-36-2529-01	TCGA-36-2529-01		OV
TCGA-36-2530-01	TCGA-36-2530-01		OV
TCGA-36-2532-01	TCGA-36-2532-01		OV
TCGA-36-2533-01	TCGA-36-2533-01		OV
TCGA-36-2534-01	TCGA-36-2534-01		OV
TCGA-36-2537-01	TCGA-36-2537-01		OV
TCGA-36-2538-01	TCGA-36-2538-01		OV
TCGA-36-2540-01	TCGA-36-2540-01		OV
TCGA-36-2542-01	TCGA-36-2542-01		OV
TCGA-36-2543-01	TCGA-36-2543-01		OV
TCGA-36-2544-01	TCGA-36-2544-01		OV
TCGA-36-2545-01	TCGA-36-2545-01		OV
TCGA-36-2547-01	TCGA-36-2547-01		OV
TCGA-36-2548-01	TCGA-36-2548-01		OV
TCGA-36-2549-01	TCGA-36-2549-01		OV
TCGA-36-2551-01	TCGA-36-2551-01		OV
TCGA-36-2552-01	TCGA-36-2552-01		OV
TCGA-42-2582-01	TCGA-42-2582-01		OV
TCGA-42-2587-01	TCGA-42-2587-01		OV
TCGA-42-2588-01	TCGA-42-2588-01		OV
TCGA-42-2589-01	TCGA-42-2589-01		OV
TCGA-42-2590-01	TCGA-42-2590-01		OV
TCGA-42-2591-01	TCGA-42-2591-01		OV
TCGA-42-2593-01	TCGA-42-2593-01		OV
TCGA-57-1586-01	TCGA-57-1586-01		OV
TCGA-57-1992-01	TCGA-57-1992-01		OV
TCGA-59-2349-01	TCGA-59-2349-01		OV
TCGA-59-2372-01	TCGA-59-2372-01		OV
TCGA-61-1722-01	TCGA-61-1722-01		OV
TCGA-61-1727-01	TCGA-61-1727-01		OV
